,depth,definition,definition2
0,11,공공 기관 및 기업 고위직,11 공공 기관 및 기업 고위직
1,12,행정∙경영 지원 및 마케팅 관리직,12 행정∙경영 지원 및 마케팅 관리직
2,13,전문 서비스 관리직,13 전문 서비스 관리직
3,14,건설∙전기 및 생산 관련 관리직,14 건설∙전기 및 생산 관련 관리직
4,15,판매 및 고객 서비스 관리직,15 판매 및 고객 서비스 관리직
5,21,과학 전문가 및 관련직,21 과학 전문가 및 관련직
6,22,정보 통신 전문가 및 기술직,22 정보 통신 전문가 및 기술직
7,23,공학 전문가 및 기술직,23 공학 전문가 및 기술직
8,24,보건∙사회복지 및 종교 관련직,24 보건∙사회복지 및 종교 관련직
9,25,교육 전문가 및 관련직,25 교육 전문가 및 관련직
10,26,법률 및 행정 전문직,26 법률 및 행정 전문직
11,27,경영∙금융전문가 및 관련직,27 경영∙금융전문가 및 관련직
12,28,문화∙예술∙스포츠 전문가 및 관련직,28 문화∙예술∙스포츠 전문가 및 관련직
13,31,경영 및 회계 관련 사무직,31 경영 및 회계 관련 사무직
14,32,금융 사무직,32 금융 사무직
15,33,법률 및 감사 사무직,33 법률 및 감사 사무직
16,39,상담∙안내∙통계 및 기타 사무직,39 상담∙안내∙통계 및 기타 사무직
17,41,경찰∙소방 및 보안 관련 서비스직,41 경찰∙소방 및 보안 관련 서비스직
18,42,돌봄∙보건 및 개인 생활 서비스직,42 돌봄∙보건 및 개인 생활 서비스직
19,43,운송 및 여가 서비스직,43 운송 및 여가 서비스직
20,44,조리 및 음식 서비스직,44 조리 및 음식 서비스직
21,51,영업직,51 영업직
22,52,매장 판매 및 상품 대여직,52 매장 판매 및 상품 대여직
23,53,통신 및 방문∙노점 판매 관련직,53 통신 및 방문∙노점 판매 관련직
24,61,농∙축산 숙련직,61 농∙축산 숙련직
25,62,임업 숙련직,62 임업 숙련직
26,63,어업 숙련직,63 어업 숙련직
27,71,식품가공 관련 기능직,71 식품가공 관련 기능직
28,72,섬유∙의복 및 가죽 관련 기능직,72 섬유∙의복 및 가죽 관련 기능직
29,73,목재∙가구∙악기 및 간판 관련 기능직,73 목재∙가구∙악기 및 간판 관련 기능직
30,74,금속 성형 관련 기능직,74 금속 성형 관련 기능직
31,75,운송 및 기계 관련 기능직,75 운송 및 기계 관련 기능직
32,76,전기 및 전자 관련 기능직,76 전기 및 전자 관련 기능직
33,77,정보 통신 및 방송장비 관련 기능직,77 정보 통신 및 방송장비 관련 기능직
34,78,건설 및 채굴 관련 기능직,78 건설 및 채굴 관련 기능직
35,79,기타 기능 관련직,79 기타 기능 관련직
36,81,식품가공 관련 기계 조작직,81 식품가공 관련 기계 조작직
37,82,섬유 및 신발 관련 기계 조작직,82 섬유 및 신발 관련 기계 조작직
38,83,화학 관련 기계 조작직,83 화학 관련 기계 조작직
39,84,금속 및 비금속 관련 기계 조작직,84 금속 및 비금속 관련 기계 조작직
40,85,기계 제조 및 관련 기계 조작직,85 기계 제조 및 관련 기계 조작직
41,86,전기 및 전자 관련 기계 조작직,86 전기 및 전자 관련 기계 조작직
42,87,운전 및 운송 관련직,87 운전 및 운송 관련직
43,88,상하수도 및 재활용 처리 관련 기계 조작직,88 상하수도 및 재활용 처리 관련 기계 조작직
44,89,목재∙인쇄 및 기타 기계 조작직,89 목재∙인쇄 및 기타 기계 조작직
45,91,건설 및 광업 관련 단순 노무직,91 건설 및 광업 관련 단순 노무직
46,92,운송 관련 단순 노무직,92 운송 관련 단순 노무직
47,93,제조 관련 단순 노무직,93 제조 관련 단순 노무직
48,94,청소 및 경비 관련 단순 노무직,94 청소 및 경비 관련 단순 노무직
49,95,가사∙음식 및 판매 관련 단순 노무직,95 가사∙음식 및 판매 관련 단순 노무직
50,99,농림∙어업 및 기타 서비스 단순 노무직,99 농림∙어업 및 기타 서비스 단순 노무직
