,depth,p_sex,p_age,count,mean,std,min,Q1,median_growth,Q3,max,median_wage,category
0,11,1,43,1.0,315.0,,315.0,315.0,,315.0,315.0,315.0,2_depth
1,11,1,55,2.0,540.0,367.7,280.0,410.0,,670.0,800.0,540.0,2_depth
2,11,1,56,2.0,350.0,212.13,200.0,275.0,,425.0,500.0,350.0,2_depth
3,11,1,57,3.0,766.67,642.91,300.0,400.0,25.0,1000.0,1500.0,500.0,2_depth
4,11,1,58,2.0,820.0,311.13,600.0,710.0,-10.57,930.0,1040.0,820.0,2_depth
5,11,1,59,2.0,500.0,0.0,500.0,500.0,0.0,500.0,500.0,500.0,2_depth
6,11,1,60,1.0,350.0,,350.0,350.0,,350.0,350.0,350.0,2_depth
7,12,1,31,1.0,260.0,,260.0,260.0,,260.0,260.0,260.0,2_depth
8,12,1,32,1.0,350.0,,350.0,350.0,34.62,350.0,350.0,350.0,2_depth
9,12,1,38,1.0,410.0,,410.0,410.0,,410.0,410.0,410.0,2_depth
10,12,1,39,1.0,300.0,,300.0,300.0,-26.83,300.0,300.0,300.0,2_depth
11,12,1,40,1.0,330.0,,330.0,330.0,-10.29,330.0,330.0,330.0,2_depth
12,12,1,41,1.0,380.0,,380.0,380.0,-2.5,380.0,380.0,380.0,2_depth
13,12,1,42,2.0,365.0,120.21,280.0,322.5,,407.5,450.0,365.0,2_depth
14,12,1,43,1.0,320.0,,320.0,320.0,14.29,320.0,320.0,320.0,2_depth
15,12,1,44,1.0,500.0,,500.0,500.0,,500.0,500.0,500.0,2_depth
16,12,1,45,3.0,710.0,424.62,450.0,465.0,-10.0,840.0,1200.0,480.0,2_depth
17,12,1,46,3.0,596.67,230.29,400.0,470.0,-10.56,695.0,850.0,540.0,2_depth
18,12,1,47,1.0,660.0,,660.0,660.0,17.26,660.0,660.0,660.0,2_depth
19,12,1,48,2.0,685.0,21.21,670.0,677.5,10.27,692.5,700.0,685.0,2_depth
20,12,1,49,2.0,590.0,127.28,500.0,545.0,4.55,635.0,680.0,590.0,2_depth
21,12,1,50,1.0,650.0,,650.0,650.0,6.25,650.0,650.0,650.0,2_depth
22,12,1,51,3.0,619.0,201.8,477.0,503.5,9.99,690.0,850.0,530.0,2_depth
23,12,1,52,4.0,732.5,83.02,630.0,682.5,12.2,800.0,800.0,750.0,2_depth
24,12,1,53,6.0,648.33,218.21,240.0,612.5,6.59,800.0,800.0,725.0,2_depth
25,12,1,54,6.0,576.67,234.83,300.0,362.5,0.62,772.5,820.0,620.0,2_depth
26,12,1,55,6.0,703.33,202.16,500.0,525.0,0.42,815.0,1000.0,700.0,2_depth
27,12,1,56,5.0,758.0,497.41,350.0,460.0,6.32,780.0,1600.0,600.0,2_depth
28,12,1,57,6.0,846.17,613.31,300.0,492.75,9.88,925.0,2000.0,665.0,2_depth
29,12,1,58,3.0,366.67,175.59,200.0,275.0,1.99,450.0,550.0,350.0,2_depth
30,12,1,59,4.0,422.5,121.21,300.0,330.0,0.0,512.5,550.0,420.0,2_depth
31,12,1,60,3.0,440.0,135.28,300.0,375.0,5.6,510.0,570.0,450.0,2_depth
32,12,1,61,4.0,312.5,25.0,300.0,300.0,1.96,312.5,350.0,300.0,2_depth
33,12,1,62,3.0,366.67,152.75,200.0,300.0,-2.57,450.0,500.0,400.0,2_depth
34,12,1,63,5.0,334.0,147.58,100.0,320.0,-1.93,400.0,500.0,350.0,2_depth
35,12,1,64,3.0,266.67,28.87,250.0,250.0,-5.9,275.0,300.0,250.0,2_depth
36,12,1,65,1.0,200.0,,200.0,200.0,-9.64,200.0,200.0,200.0,2_depth
37,12,1,66,1.0,310.0,,310.0,310.0,,310.0,310.0,310.0,2_depth
38,12,1,74,1.0,100.0,,100.0,100.0,,100.0,100.0,100.0,2_depth
39,12,2,47,1.0,200.0,,200.0,200.0,,200.0,200.0,200.0,2_depth
40,12,2,48,1.0,200.0,,200.0,200.0,0.0,200.0,200.0,200.0,2_depth
41,13,1,29,1.0,450.0,,450.0,450.0,,450.0,450.0,450.0,2_depth
42,13,1,30,1.0,400.0,,400.0,400.0,-11.11,400.0,400.0,400.0,2_depth
43,13,1,31,1.0,500.0,,500.0,500.0,,500.0,500.0,500.0,2_depth
44,13,1,32,1.0,550.0,,550.0,550.0,10.0,550.0,550.0,550.0,2_depth
45,13,1,33,1.0,750.0,,750.0,750.0,22.47,750.0,750.0,750.0,2_depth
46,13,1,34,1.0,300.0,,300.0,300.0,,300.0,300.0,300.0,2_depth
47,13,1,35,2.0,300.0,0.0,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
48,13,1,36,3.0,420.0,199.25,300.0,305.0,0.82,480.0,650.0,310.0,2_depth
49,13,1,37,4.0,417.5,160.91,250.0,302.5,-7.69,525.0,600.0,410.0,2_depth
50,13,1,38,4.0,578.0,59.8,500.0,552.5,-0.31,610.5,642.0,585.0,2_depth
51,13,1,39,3.0,510.0,115.33,400.0,450.0,-1.04,565.0,630.0,500.0,2_depth
52,13,1,40,5.0,509.6,196.51,200.0,442.0,0.2,616.0,700.0,590.0,2_depth
53,13,1,41,5.0,381.6,225.44,200.0,200.0,1.18,478.0,730.0,300.0,2_depth
54,13,1,42,3.0,610.0,215.17,400.0,500.0,-1.63,715.0,830.0,600.0,2_depth
55,13,1,43,5.0,436.0,173.15,230.0,350.0,-0.59,450.0,700.0,450.0,2_depth
56,13,1,44,6.0,483.33,204.12,250.0,362.5,3.04,600.0,800.0,425.0,2_depth
57,13,1,45,8.0,452.5,169.6,200.0,340.0,-6.51,585.0,700.0,440.0,2_depth
58,13,1,46,9.0,452.78,194.57,200.0,300.0,-3.84,630.0,700.0,350.0,2_depth
59,13,1,47,12.0,546.67,212.96,230.0,392.5,2.6,750.0,900.0,495.0,2_depth
60,13,1,48,15.0,610.0,245.91,280.0,450.0,0.0,760.0,1100.0,570.0,2_depth
61,13,1,49,14.0,614.29,189.89,250.0,500.0,-1.32,715.0,1000.0,625.0,2_depth
62,13,1,50,13.0,609.92,220.43,350.0,430.0,-2.53,730.0,1000.0,551.0,2_depth
63,13,1,51,13.0,663.62,311.51,400.0,450.0,1.82,700.0,1500.0,600.0,2_depth
64,13,1,52,14.0,656.93,255.29,210.0,457.5,2.14,867.5,1000.0,633.5,2_depth
65,13,1,53,13.0,609.08,208.11,250.0,500.0,0.0,708.0,1000.0,650.0,2_depth
66,13,1,54,15.0,582.07,259.68,220.0,360.0,1.79,775.0,1000.0,570.0,2_depth
67,13,1,55,17.0,474.94,194.4,200.0,300.0,6.07,600.0,820.0,460.0,2_depth
68,13,1,56,18.0,452.94,228.53,100.0,277.5,3.1,622.5,833.0,465.0,2_depth
69,13,1,57,20.0,513.85,213.35,150.0,350.0,2.7,612.5,1000.0,500.0,2_depth
70,13,1,58,20.0,463.75,172.9,177.0,337.5,1.94,562.5,833.0,500.0,2_depth
71,13,1,59,20.0,484.3,229.91,180.0,294.5,4.52,592.5,1000.0,500.0,2_depth
72,13,1,60,19.0,395.58,141.95,170.0,298.0,-1.01,510.0,665.0,400.0,2_depth
73,13,1,61,14.0,413.29,183.84,170.0,235.0,0.0,500.0,750.0,450.0,2_depth
74,13,1,62,16.0,433.94,255.98,200.0,272.5,2.5,510.0,1200.0,375.0,2_depth
75,13,1,63,12.0,309.25,118.9,100.0,225.0,0.0,381.25,500.0,300.0,2_depth
76,13,1,64,9.0,383.89,113.35,245.0,320.0,3.26,450.0,600.0,350.0,2_depth
77,13,1,65,5.0,411.0,133.25,270.0,350.0,6.22,475.0,610.0,350.0,2_depth
78,13,1,66,8.0,667.5,950.71,180.0,250.0,5.42,500.0,3000.0,350.0,2_depth
79,13,1,67,6.0,386.67,214.17,150.0,215.0,3.82,512.5,700.0,375.0,2_depth
80,13,1,68,4.0,432.5,205.49,200.0,350.0,10.78,497.5,700.0,415.0,2_depth
81,13,1,69,4.0,412.5,193.8,200.0,335.0,7.67,467.5,670.0,390.0,2_depth
82,13,1,70,5.0,321.0,196.67,120.0,230.0,1.55,370.0,635.0,250.0,2_depth
83,13,1,71,3.0,485.0,353.09,200.0,287.5,-0.66,627.5,880.0,375.0,2_depth
84,13,1,72,5.0,355.0,307.37,130.0,190.0,-0.44,375.0,880.0,200.0,2_depth
85,13,1,73,3.0,442.67,439.5,178.0,189.0,8.25,575.0,950.0,200.0,2_depth
86,13,2,31,1.0,300.0,,300.0,300.0,,300.0,300.0,300.0,2_depth
87,13,2,32,1.0,200.0,,200.0,200.0,-33.33,200.0,200.0,200.0,2_depth
88,13,2,36,1.0,582.0,,582.0,582.0,,582.0,582.0,582.0,2_depth
89,13,2,37,1.0,570.0,,570.0,570.0,-2.06,570.0,570.0,570.0,2_depth
90,13,2,38,1.0,600.0,,600.0,600.0,1.53,600.0,600.0,600.0,2_depth
91,13,2,39,2.0,525.0,247.49,350.0,437.5,6.35,612.5,700.0,525.0,2_depth
92,13,2,40,4.0,287.5,75.0,200.0,237.5,0.0,350.0,350.0,300.0,2_depth
93,13,2,41,3.0,311.67,166.31,185.0,217.5,0.0,375.0,500.0,250.0,2_depth
94,13,2,42,4.0,252.5,58.52,180.0,217.5,2.2,300.0,300.0,265.0,2_depth
95,13,2,43,5.0,257.0,92.17,185.0,200.0,1.85,300.0,400.0,200.0,2_depth
96,13,2,44,7.0,290.29,85.72,200.0,226.0,7.19,365.0,400.0,250.0,2_depth
97,13,2,45,5.0,271.6,82.11,198.0,210.0,4.17,300.0,400.0,250.0,2_depth
98,13,2,46,4.0,270.0,42.43,210.0,255.0,3.44,300.0,300.0,285.0,2_depth
99,13,2,47,4.0,287.5,53.77,220.0,265.0,5.27,312.5,350.0,290.0,2_depth
100,13,2,48,7.0,298.57,62.03,210.0,265.0,7.46,325.0,400.0,300.0,2_depth
101,13,2,49,5.0,256.0,55.95,180.0,230.0,0.93,300.0,320.0,250.0,2_depth
102,13,2,50,6.0,330.0,88.99,240.0,292.5,2.0,327.5,500.0,310.0,2_depth
103,13,2,51,3.0,333.33,57.74,300.0,300.0,3.24,350.0,400.0,300.0,2_depth
104,13,2,52,5.0,430.0,164.32,300.0,300.0,5.74,450.0,700.0,400.0,2_depth
105,13,2,53,6.0,381.67,126.08,300.0,300.0,4.08,420.0,610.0,315.0,2_depth
106,13,2,54,6.0,318.33,116.69,100.0,302.5,-1.73,400.0,400.0,355.0,2_depth
107,13,2,55,8.0,427.5,128.81,300.0,347.5,3.75,462.5,700.0,400.0,2_depth
108,13,2,56,7.0,390.0,134.29,200.0,325.0,8.25,440.0,600.0,400.0,2_depth
109,13,2,57,6.0,400.0,123.94,300.0,305.0,8.32,470.0,600.0,350.0,2_depth
110,13,2,58,6.0,423.33,124.37,220.0,377.5,4.32,492.5,580.0,435.0,2_depth
111,13,2,59,7.0,409.86,134.76,220.0,310.0,4.2,500.0,600.0,429.0,2_depth
112,13,2,60,7.0,445.71,154.26,220.0,325.0,4.45,575.0,600.0,500.0,2_depth
113,13,2,61,7.0,367.14,152.61,220.0,280.0,0.0,420.0,650.0,300.0,2_depth
114,13,2,62,5.0,319.0,67.12,220.0,300.0,3.25,355.0,400.0,320.0,2_depth
115,13,2,63,3.0,301.67,88.08,200.0,275.0,6.99,352.5,355.0,350.0,2_depth
116,13,2,64,3.0,261.67,82.21,200.0,215.0,0.72,292.5,355.0,230.0,2_depth
117,13,2,65,1.0,250.0,,250.0,250.0,11.8,250.0,250.0,250.0,2_depth
118,13,2,66,1.0,300.0,,300.0,300.0,14.47,300.0,300.0,300.0,2_depth
119,13,2,67,1.0,300.0,,300.0,300.0,0.0,300.0,300.0,300.0,2_depth
120,13,2,68,1.0,500.0,,500.0,500.0,,500.0,500.0,500.0,2_depth
121,14,1,25,1.0,216.0,,216.0,216.0,,216.0,216.0,216.0,2_depth
122,14,1,26,1.0,227.0,,227.0,227.0,5.09,227.0,227.0,227.0,2_depth
123,14,1,27,1.0,207.0,,207.0,207.0,-2.11,207.0,207.0,207.0,2_depth
124,14,1,28,2.0,258.0,31.11,236.0,247.0,3.0,269.0,280.0,258.0,2_depth
125,14,1,29,2.0,245.5,6.36,241.0,243.25,-3.97,247.75,250.0,245.5,2_depth
126,14,1,30,2.0,300.0,70.71,250.0,275.0,11.8,325.0,350.0,300.0,2_depth
127,14,1,33,4.0,348.75,42.11,300.0,326.25,,370.0,400.0,347.5,2_depth
128,14,1,34,5.0,309.6,46.38,260.0,280.0,0.0,358.0,360.0,290.0,2_depth
129,14,1,35,3.0,300.0,0.0,300.0,300.0,-0.96,300.0,300.0,300.0,2_depth
130,14,1,36,5.0,458.0,183.9,290.0,300.0,19.47,600.0,700.0,400.0,2_depth
131,14,1,37,6.0,430.0,182.21,230.0,312.5,0.0,550.0,700.0,375.0,2_depth
132,14,1,38,8.0,427.88,152.44,300.0,330.0,6.94,500.0,750.0,366.5,2_depth
133,14,1,39,6.0,408.33,80.1,300.0,362.5,5.27,475.0,500.0,400.0,2_depth
134,14,1,40,8.0,442.5,162.19,320.0,327.5,7.02,500.0,800.0,385.0,2_depth
135,14,1,41,11.0,476.36,102.5,330.0,425.0,11.87,500.0,700.0,450.0,2_depth
136,14,1,42,11.0,523.64,161.63,350.0,410.0,15.83,580.0,900.0,500.0,2_depth
137,14,1,43,17.0,568.24,168.87,300.0,450.0,13.68,700.0,1000.0,550.0,2_depth
138,14,1,44,15.0,529.53,206.64,100.0,435.0,4.83,685.0,850.0,530.0,2_depth
139,14,1,45,18.0,559.0,215.07,330.0,405.0,4.66,600.0,1200.0,508.5,2_depth
140,14,1,46,21.0,619.33,297.18,300.0,400.0,6.38,790.0,1400.0,550.0,2_depth
141,14,1,47,26.0,549.85,352.33,200.0,362.5,2.63,590.0,2000.0,410.0,2_depth
142,14,1,48,27.0,595.0,288.36,300.0,379.5,6.19,765.0,1600.0,550.0,2_depth
143,14,1,49,29.0,749.21,1408.99,150.0,397.0,4.2,600.0,8000.0,440.0,2_depth
144,14,1,50,22.0,492.73,214.08,150.0,365.0,12.85,580.0,1000.0,465.0,2_depth
145,14,1,51,18.0,583.89,286.34,200.0,427.5,5.5,700.0,1400.0,500.0,2_depth
146,14,1,52,14.0,542.86,265.2,250.0,362.5,15.0,587.5,1300.0,500.0,2_depth
147,14,1,53,18.0,598.39,361.41,200.0,312.5,7.32,797.75,1500.0,500.0,2_depth
148,14,1,54,20.0,566.25,302.83,180.0,378.75,1.82,625.0,1500.0,475.0,2_depth
149,14,1,55,15.0,502.0,166.91,300.0,380.0,4.0,525.0,900.0,470.0,2_depth
150,14,1,56,16.0,501.88,220.22,200.0,337.5,1.21,677.5,1000.0,440.0,2_depth
151,14,1,57,19.0,522.11,256.03,200.0,325.0,0.19,635.0,1000.0,450.0,2_depth
152,14,1,58,19.0,479.74,220.56,100.0,325.0,-0.96,550.0,1000.0,470.0,2_depth
153,14,1,59,23.0,446.96,215.2,120.0,300.0,0.0,550.0,900.0,400.0,2_depth
154,14,1,60,23.0,417.83,187.23,100.0,285.0,0.0,500.0,880.0,400.0,2_depth
155,14,1,61,13.0,461.54,153.45,230.0,350.0,0.0,500.0,800.0,500.0,2_depth
156,14,1,62,15.0,602.33,550.14,230.0,352.5,3.42,600.0,2500.0,500.0,2_depth
157,14,1,63,13.0,540.77,335.67,230.0,330.0,2.74,600.0,1500.0,500.0,2_depth
158,14,1,64,13.0,1252.31,2652.85,190.0,240.0,4.2,700.0,10000.0,400.0,2_depth
159,14,1,65,10.0,1376.0,2986.41,180.0,312.5,3.0,500.0,9850.0,440.0,2_depth
160,14,1,66,8.0,341.25,143.07,180.0,200.0,2.83,500.0,500.0,325.0,2_depth
161,14,1,67,7.0,342.14,144.45,190.0,215.0,2.51,487.5,500.0,300.0,2_depth
162,14,1,68,3.0,316.67,160.73,200.0,225.0,-1.64,375.0,500.0,250.0,2_depth
163,14,1,69,3.0,333.33,152.75,200.0,250.0,1.02,400.0,500.0,300.0,2_depth
164,14,1,70,2.0,475.0,247.49,300.0,387.5,4.13,562.5,650.0,475.0,2_depth
165,14,1,71,2.0,327.0,9.9,320.0,323.5,6.67,330.5,334.0,327.0,2_depth
166,14,1,72,2.0,250.0,98.99,180.0,215.0,-21.42,285.0,320.0,250.0,2_depth
167,14,1,73,2.0,275.0,106.07,200.0,237.5,-8.68,312.5,350.0,275.0,2_depth
168,14,1,74,1.0,250.0,,250.0,250.0,-9.2,250.0,250.0,250.0,2_depth
169,14,2,45,1.0,700.0,,700.0,700.0,,700.0,700.0,700.0,2_depth
170,14,2,46,2.0,500.0,0.0,500.0,500.0,,500.0,500.0,500.0,2_depth
