,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,,11,,1,20~29,,,0.0
0,,11,,1,30~39,,,0.0
0,11.0,11,1.0,1,40~49,,315.0,1.0
0,11.0,11,1.0,1,50~59,4.81,542.0,11.0
0,11.0,11,1.0,1,60~69,,350.0,1.0
0,,11,,1,70~79,,,0.0
0,,11,,1,80~89,,,0.0
0,,11,,1,90~99,,,0.0
0,,12,,1,20~29,,,0.0
0,12.0,12,1.0,1,30~39,3.89,330.0,4.0
0,12.0,12,1.0,1,40~49,1.63,485.0,17.0
0,12.0,12,1.0,1,50~59,5.43,601.0,44.0
0,12.0,12,1.0,1,60~69,-2.08,322.86,20.0
0,12.0,12,1.0,1,70~79,,100.0,1.0
0,,12,,1,80~89,,,0.0
0,,12,,1,90~99,,,0.0
0,,12,,2,20~29,,,0.0
0,,12,,2,30~39,,,0.0
0,12.0,12,2.0,2,40~49,0.0,200.0,2.0
0,,12,,2,50~59,,,0.0
0,,12,,2,60~69,,,0.0
0,,12,,2,70~79,,,0.0
0,,12,,2,80~89,,,0.0
0,,12,,2,90~99,,,0.0
0,13.0,13,1.0,1,20~29,,450.0,1.0
0,13.0,13,1.0,1,30~39,1.64,460.5,21.0
0,13.0,13,1.0,1,40~49,-0.69,484.5,82.0
0,13.0,13,1.0,1,50~59,2.16,542.95,163.0
0,13.0,13,1.0,1,60~69,3.87,375.5,97.0
0,13.0,13,1.0,1,70~79,2.17,256.25,16.0
0,,13,,1,80~89,,,0.0
0,,13,,1,90~99,,,0.0
0,,13,,2,20~29,,,0.0
0,13.0,13,2.0,2,30~39,-6.88,462.83,7.0
0,13.0,13,2.0,2,40~49,3.25,264.0,48.0
0,13.0,13,2.0,2,50~59,4.22,369.4,60.0
0,13.0,13,2.0,2,60~69,5.21,338.89,29.0
0,,13,,2,70~79,,,0.0
0,,13,,2,80~89,,,0.0
0,,13,,2,90~99,,,0.0
0,14.0,14,1.0,1,20~29,0.5,230.7,7.0
0,14.0,14,1.0,1,30~39,6.07,347.38,39.0
0,14.0,14,1.0,1,40~49,7.73,487.35,183.0
0,14.0,14,1.0,1,50~59,4.69,467.0,184.0
0,14.0,14,1.0,1,60~69,1.81,391.5,108.0
