,depth,p_sex,p_age,count,mean,std,min,Q1,median_growth,Q3,max,median_wage,category
0,11,1,43,1.0,348.0,,348.0,348.0,,348.0,348.0,348.0,2_depth
1,11,1,55,2.0,622.0,369.11,361.0,491.5,,752.5,883.0,622.0,2_depth
2,11,1,56,2.0,451.5,273.65,258.0,354.75,,548.25,645.0,451.5,2_depth
3,11,1,57,3.0,935.33,762.6,376.0,501.0,21.4,1215.0,1804.0,626.0,2_depth
4,11,1,58,2.0,977.0,362.04,721.0,849.0,-12.96,1105.0,1233.0,977.0,2_depth
5,11,1,59,2.0,589.5,4.95,586.0,587.75,-2.76,591.25,593.0,589.5,2_depth
6,11,1,60,1.0,384.0,,384.0,384.0,,384.0,384.0,384.0,2_depth
7,12,1,31,1.0,291.0,,291.0,291.0,,291.0,291.0,291.0,2_depth
8,12,1,32,1.0,386.0,,386.0,386.0,32.65,386.0,386.0,386.0,2_depth
9,12,1,38,1.0,453.0,,453.0,453.0,,453.0,453.0,453.0,2_depth
10,12,1,39,1.0,329.0,,329.0,329.0,-27.37,329.0,329.0,329.0,2_depth
11,12,1,40,1.0,359.0,,359.0,359.0,-10.98,359.0,359.0,359.0,2_depth
12,12,1,41,1.0,399.0,,399.0,399.0,-4.14,399.0,399.0,399.0,2_depth
13,12,1,42,2.0,405.0,130.11,313.0,359.0,,451.0,497.0,405.0,2_depth
14,12,1,43,1.0,353.0,,353.0,353.0,12.78,353.0,353.0,353.0,2_depth
15,12,1,44,1.0,586.0,,586.0,586.0,,586.0,586.0,586.0,2_depth
16,12,1,45,3.0,880.33,579.54,523.0,546.0,-10.75,1059.0,1549.0,569.0,2_depth
17,12,1,46,3.0,719.33,311.6,460.0,546.5,-11.4,849.0,1065.0,633.0,2_depth
18,12,1,47,1.0,767.0,,767.0,767.0,16.1,767.0,767.0,767.0,2_depth
19,12,1,48,2.0,776.5,9.19,770.0,773.25,9.06,779.75,783.0,776.5,2_depth
20,12,1,49,2.0,661.5,154.86,552.0,606.75,3.35,716.25,771.0,661.5,2_depth
21,12,1,50,1.0,727.0,,727.0,727.0,5.02,727.0,727.0,727.0,2_depth
22,12,1,51,3.0,739.33,173.72,616.0,640.0,8.69,801.0,938.0,664.0,2_depth
23,12,1,52,4.0,825.75,73.29,758.0,764.75,9.26,886.0,895.0,825.0,2_depth
24,12,1,53,6.0,733.67,232.37,279.0,733.5,5.47,875.5,883.0,821.0,2_depth
25,12,1,54,6.0,648.67,244.28,352.0,430.0,-0.22,848.25,893.0,707.0,2_depth
26,12,1,55,6.0,796.17,197.75,581.0,633.0,-1.07,868.5,1104.0,817.5,2_depth
27,12,1,56,5.0,857.0,527.92,391.0,594.0,5.62,850.0,1753.0,697.0,2_depth
28,12,1,57,6.0,940.83,649.3,356.0,594.0,7.92,988.75,2178.0,750.5,2_depth
29,12,1,58,3.0,410.33,192.5,218.0,314.0,0.9,506.5,603.0,410.0,2_depth
30,12,1,59,4.0,462.0,119.83,349.0,368.5,-0.99,543.5,599.0,450.0,2_depth
31,12,1,60,3.0,482.33,137.32,331.0,424.0,4.18,558.0,599.0,517.0,2_depth
32,12,1,61,4.0,367.25,30.9,329.0,349.25,1.08,389.5,397.0,371.5,2_depth
33,12,1,62,3.0,416.0,168.65,234.0,340.5,-4.35,507.0,567.0,447.0,2_depth
34,12,1,63,5.0,367.8,161.72,110.0,353.0,-3.38,447.0,545.0,384.0,2_depth
35,12,1,64,3.0,296.0,27.62,274.0,280.5,-6.93,307.0,327.0,287.0,2_depth
36,12,1,65,1.0,227.0,,227.0,227.0,-10.64,227.0,227.0,227.0,2_depth
37,12,1,66,1.0,368.0,,368.0,368.0,,368.0,368.0,368.0,2_depth
38,12,1,74,1.0,110.0,,110.0,110.0,,110.0,110.0,110.0,2_depth
39,12,2,47,1.0,218.0,,218.0,218.0,,218.0,218.0,218.0,2_depth
40,12,2,48,1.0,210.0,,210.0,210.0,-3.67,210.0,210.0,210.0,2_depth
41,13,1,29,1.0,497.0,,497.0,497.0,,497.0,497.0,497.0,2_depth
42,13,1,30,1.0,438.0,,438.0,438.0,-11.87,438.0,438.0,438.0,2_depth
43,13,1,31,1.0,626.0,,626.0,626.0,,626.0,626.0,626.0,2_depth
44,13,1,32,1.0,661.0,,661.0,661.0,5.59,661.0,661.0,661.0,2_depth
45,13,1,33,1.0,889.0,,889.0,889.0,19.17,889.0,889.0,889.0,2_depth
46,13,1,34,1.0,331.0,,331.0,331.0,,331.0,331.0,331.0,2_depth
47,13,1,35,2.0,345.0,22.63,329.0,337.0,-0.6,353.0,361.0,345.0,2_depth
48,13,1,36,3.0,511.0,284.2,338.0,347.0,-0.17,597.5,839.0,356.0,2_depth
49,13,1,37,4.0,501.5,222.57,293.0,325.25,-9.91,657.25,751.0,481.0,2_depth
50,13,1,38,4.0,666.0,74.94,601.0,622.0,-4.04,689.5,772.0,645.5,2_depth
51,13,1,39,3.0,592.67,154.5,438.0,515.5,-3.8,670.0,747.0,593.0,2_depth
52,13,1,40,5.0,595.0,226.05,250.0,518.0,-1.29,722.0,842.0,643.0,2_depth
53,13,1,41,5.0,442.2,264.89,210.0,240.0,-1.88,556.0,849.0,356.0,2_depth
54,13,1,42,3.0,699.67,256.02,442.0,572.5,-3.24,828.5,954.0,703.0,2_depth
55,13,1,43,5.0,487.0,168.33,277.0,407.0,-1.57,523.0,735.0,493.0,2_depth
56,13,1,44,6.0,568.17,272.34,296.0,412.0,2.03,682.75,1032.0,466.0,2_depth
57,13,1,45,8.0,530.38,208.43,232.0,378.75,-7.6,637.0,877.0,528.5,2_depth
58,13,1,46,9.0,539.89,246.8,230.0,349.0,-4.79,789.0,842.0,438.0,2_depth
59,13,1,47,12.0,661.58,284.0,261.0,440.25,-0.08,855.75,1161.0,590.5,2_depth
60,13,1,48,15.0,721.2,297.4,313.0,523.5,-2.04,895.5,1252.0,668.0,2_depth
61,13,1,49,14.0,717.43,226.12,276.0,594.25,-4.31,806.5,1202.0,751.5,2_depth
62,13,1,50,13.0,706.23,254.55,384.0,523.0,-3.82,865.0,1186.0,683.0,2_depth
63,13,1,51,13.0,766.31,365.24,436.0,564.0,-0.59,821.0,1758.0,697.0,2_depth
64,13,1,52,14.0,750.93,300.53,253.0,518.75,0.03,1021.25,1162.0,714.5,2_depth
65,13,1,53,13.0,688.62,244.82,291.0,525.0,-1.55,814.0,1149.0,727.0,2_depth
66,13,1,54,15.0,655.4,291.54,258.0,409.5,0.47,864.0,1134.0,638.0,2_depth
67,13,1,55,17.0,540.47,217.54,237.0,349.0,4.69,696.0,899.0,535.0,2_depth
68,13,1,56,18.0,511.33,249.99,109.0,309.75,1.39,690.5,920.0,543.5,2_depth
69,13,1,57,20.0,579.8,244.77,174.0,394.25,1.0,710.5,1202.0,556.5,2_depth
70,13,1,58,20.0,518.25,185.29,207.0,370.25,0.48,642.75,907.0,529.5,2_depth
71,13,1,59,20.0,557.55,261.61,204.0,341.25,3.41,662.5,1172.0,604.0,2_depth
72,13,1,60,19.0,463.63,176.36,190.0,338.0,-2.9,598.5,788.0,465.0,2_depth
73,13,1,61,14.0,481.86,219.96,204.0,269.0,-2.18,629.0,879.0,501.5,2_depth
74,13,1,62,16.0,500.56,292.59,229.0,314.25,1.05,572.25,1342.0,415.0,2_depth
75,13,1,63,12.0,347.5,131.51,129.0,249.0,-0.82,427.75,552.0,335.5,2_depth
76,13,1,64,9.0,421.44,130.05,268.0,336.0,0.72,473.0,658.0,384.0,2_depth
77,13,1,65,5.0,456.4,150.19,294.0,381.0,5.14,557.0,664.0,386.0,2_depth
78,13,1,66,8.0,722.5,991.29,199.0,268.25,4.03,554.0,3151.0,399.5,2_depth
79,13,1,67,6.0,429.33,228.12,172.0,243.25,2.36,583.0,735.0,425.5,2_depth
80,13,1,68,4.0,483.25,236.72,218.0,393.5,9.29,550.25,794.0,460.5,2_depth
81,13,1,69,4.0,461.0,221.84,210.0,367.5,6.37,536.0,749.0,442.5,2_depth
82,13,1,70,5.0,353.6,217.01,132.0,254.0,0.44,405.0,701.0,276.0,2_depth
83,13,1,71,3.0,530.33,387.27,219.0,313.5,-1.44,686.0,964.0,408.0,2_depth
84,13,1,72,5.0,384.0,334.73,142.0,207.0,-2.11,394.0,959.0,218.0,2_depth
85,13,1,73,3.0,465.0,461.73,187.0,198.5,6.8,604.0,998.0,210.0,2_depth
86,13,2,31,1.0,349.0,,349.0,349.0,,349.0,349.0,349.0,2_depth
