,depth,depth2,p_sex,p_sex2,p_age_range,median_growth,median_wage,count2
0,,11,,1,20~24,,,0.0
0,,11,,1,25~29,,,0.0
0,,11,,1,30~34,,,0.0
0,,11,,1,35~39,,,0.0
0,11.0,11,1.0,1,40~44,,348.0,1.0
0,,11,,1,45~49,,,0.0
0,,11,,1,50~54,,,0.0
0,11.0,11,1.0,1,55~59,1.89,653.2,11.0
0,11.0,11,1.0,1,60~64,,384.0,1.0
0,,11,,1,65~69,,,0.0
0,,11,,1,70~74,,,0.0
0,,11,,1,75~79,,,0.0
0,,11,,1,80~84,,,0.0
0,,11,,1,85~89,,,0.0
0,,11,,1,90~94,,,0.0
0,,11,,1,95~99,,,0.0
0,,12,,1,20~24,,,0.0
0,,12,,1,25~29,,,0.0
0,12.0,12,1.0,1,30~34,32.65,338.5,2.0
0,12.0,12,1.0,1,35~39,-27.37,391.0,2.0
0,12.0,12,1.0,1,40~44,-0.78,420.4,6.0
0,12.0,12,1.0,1,45~49,1.27,681.4,11.0
0,12.0,12,1.0,1,50~54,5.64,748.8,20.0
0,12.0,12,1.0,1,55~59,2.48,625.0,24.0
0,12.0,12,1.0,1,60~64,-1.88,401.3,18.0
0,12.0,12,1.0,1,65~69,-10.64,297.5,2.0
0,12.0,12,1.0,1,70~74,,110.0,1.0
0,,12,,1,75~79,,,0.0
0,,12,,1,80~84,,,0.0
0,,12,,1,85~89,,,0.0
0,,12,,1,90~94,,,0.0
0,,12,,1,95~99,,,0.0
0,,12,,2,20~24,,,0.0
0,,12,,2,25~29,,,0.0
0,,12,,2,30~34,,,0.0
0,,12,,2,35~39,,,0.0
0,,12,,2,40~44,,,0.0
0,12.0,12,2.0,2,45~49,-3.67,214.0,2.0
0,,12,,2,50~54,,,0.0
0,,12,,2,55~59,,,0.0
0,,12,,2,60~64,,,0.0
0,,12,,2,65~69,,,0.0
0,,12,,2,70~74,,,0.0
0,,12,,2,75~79,,,0.0
0,,12,,2,80~84,,,0.0
0,,12,,2,85~89,,,0.0
0,,12,,2,90~94,,,0.0
0,,12,,2,95~99,,,0.0
0,,13,,1,20~24,,,0.0
0,13.0,13,1.0,1,25~29,,497.0,1.0
0,13.0,13,1.0,1,30~34,4.3,589.0,5.0
0,13.0,13,1.0,1,35~39,-3.7,484.1,16.0
0,13.0,13,1.0,1,40~44,-1.19,532.2,24.0
0,13.0,13,1.0,1,45~49,-3.76,595.3,58.0
0,13.0,13,1.0,1,50~54,-1.09,691.9,68.0
0,13.0,13,1.0,1,55~59,2.19,553.7,95.0
0,13.0,13,1.0,1,60~64,-0.83,420.2,70.0
0,13.0,13,1.0,1,65~69,5.44,422.8,27.0
0,13.0,13,1.0,1,70~74,0.92,278.0,16.0
0,,13,,1,75~79,,,0.0
0,,13,,1,80~84,,,0.0
0,,13,,1,85~89,,,0.0
0,,13,,1,90~94,,,0.0
0,,13,,1,95~99,,,0.0
0,,13,,2,20~24,,,0.0
0,,13,,2,25~29,,,0.0
0,13.0,13,2.0,2,30~34,-34.1,289.5,2.0
0,13.0,13,2.0,2,35~39,-1.19,699.12,5.0
0,13.0,13,2.0,2,40~44,0.55,286.7,23.0
0,13.0,13,2.0,2,45~49,1.83,310.1,25.0
0,13.0,13,2.0,2,50~54,0.93,389.8,26.0
0,13.0,13,2.0,2,55~59,4.32,448.4,34.0
0,13.0,13,2.0,2,60~64,1.81,382.0,25.0
0,13.0,13,2.0,2,65~69,7.45,360.25,4.0
0,,13,,2,70~74,,,0.0
0,,13,,2,75~79,,,0.0
0,,13,,2,80~84,,,0.0
0,,13,,2,85~89,,,0.0
0,,13,,2,90~94,,,0.0
0,,13,,2,95~99,,,0.0
0,,14,,1,20~24,,,0.0
0,14.0,14,1.0,1,25~29,-0.67,256.2,7.0
0,14.0,14,1.0,1,30~34,3.76,366.0,11.0
0,14.0,14,1.0,1,35~39,4.64,414.0,28.0
0,14.0,14,1.0,1,40~44,9.23,535.3,62.0
0,14.0,14,1.0,1,45~49,3.21,546.2,121.0
0,14.0,14,1.0,1,50~54,7.06,546.8,92.0
0,14.0,14,1.0,1,55~59,-0.62,483.4,92.0
0,14.0,14,1.0,1,60~64,0.67,513.4,77.0
0,14.0,14,1.0,1,65~69,-0.16,349.5,31.0
0,14.0,14,1.0,1,70~74,-6.8,339.2,9.0
0,,14,,1,75~79,,,0.0
0,,14,,1,80~84,,,0.0
0,,14,,1,85~89,,,0.0
0,,14,,1,90~94,,,0.0
0,,14,,1,95~99,,,0.0
0,,14,,2,20~24,,,0.0
0,,14,,2,25~29,,,0.0
0,,14,,2,30~34,,,0.0
0,,14,,2,35~39,,,0.0
0,,14,,2,40~44,,,0.0
0,14.0,14,2.0,2,45~49,-0.78,668.8,11.0
0,14.0,14,2.0,2,50~54,3.02,873.5,8.0
0,14.0,14,2.0,2,55~59,-9.6,358.0,2.0
0,14.0,14,2.0,2,60~64,-2.68,358.8,5.0
0,14.0,14,2.0,2,65~69,-3.96,302.0,3.0
0,,14,,2,70~74,,,0.0
0,,14,,2,75~79,,,0.0
0,,14,,2,80~84,,,0.0
0,,14,,2,85~89,,,0.0
0,,14,,2,90~94,,,0.0
0,,14,,2,95~99,,,0.0
0,,15,,1,20~24,,,0.0
0,15.0,15,1.0,1,25~29,,353.0,2.0
0,15.0,15,1.0,1,30~34,60.74,736.0,4.0
0,15.0,15,1.0,1,35~39,13.17,582.3,27.0
0,15.0,15,1.0,1,40~44,6.0,457.6,45.0
0,15.0,15,1.0,1,45~49,3.41,601.1,51.0
0,15.0,15,1.0,1,50~54,-1.35,812.0,45.0
0,15.0,15,1.0,1,55~59,-2.45,801.1,28.0
0,15.0,15,1.0,1,60~64,-1.67,509.6,31.0
0,15.0,15,1.0,1,65~69,3.11,611.5,13.0
