,depth2,p_sex2,p_age_range,median_wage
0,11,1,20~24,0.0
1,11,1,25~29,0.0
2,11,1,30~34,0.0
3,11,1,35~39,0.0
4,11,1,40~44,348.0
5,11,1,45~49,0.0
6,11,1,50~54,0.0
7,11,1,55~59,653.2
8,11,1,60~64,384.0
0,12,1,20~24,0.0
1,12,1,25~29,0.0
2,12,1,30~34,338.5
3,12,1,35~39,391.0
4,12,1,40~44,420.4
5,12,1,45~49,681.4
6,12,1,50~54,748.8
7,12,1,55~59,625.0
8,12,1,60~64,401.3
9,12,1,65~69,297.5
10,12,1,70~74,110.0
0,12,2,20~24,0.0
1,12,2,25~29,0.0
2,12,2,30~34,0.0
3,12,2,35~39,0.0
4,12,2,40~44,0.0
5,12,2,45~49,214.0
6,12,2,50~54,0.0
7,12,2,55~59,0.0
8,12,2,60~64,0.0
0,13,1,20~24,0.0
1,13,1,25~29,497.0
2,13,1,30~34,589.0
3,13,1,35~39,484.1
4,13,1,40~44,532.2
5,13,1,45~49,595.3
6,13,1,50~54,691.9
7,13,1,55~59,553.7
8,13,1,60~64,420.2
9,13,1,65~69,422.8
10,13,1,70~74,278.0
0,13,2,20~24,0.0
1,13,2,25~29,0.0
2,13,2,30~34,289.5
3,13,2,35~39,699.12
4,13,2,40~44,286.7
5,13,2,45~49,310.1
6,13,2,50~54,389.8
7,13,2,55~59,448.4
8,13,2,60~64,382.0
9,13,2,65~69,360.25
0,14,1,20~24,0.0
1,14,1,25~29,256.2
2,14,1,30~34,366.0
3,14,1,35~39,414.0
4,14,1,40~44,535.3
5,14,1,45~49,546.2
6,14,1,50~54,546.8
7,14,1,55~59,483.4
8,14,1,60~64,513.4
9,14,1,65~69,349.5
10,14,1,70~74,339.2
0,14,2,20~24,0.0
1,14,2,25~29,0.0
2,14,2,30~34,0.0
3,14,2,35~39,0.0
4,14,2,40~44,0.0
5,14,2,45~49,668.8
6,14,2,50~54,873.5
7,14,2,55~59,358.0
8,14,2,60~64,358.8
9,14,2,65~69,302.0
0,15,1,20~24,0.0
1,15,1,25~29,353.0
2,15,1,30~34,736.0
3,15,1,35~39,582.3
4,15,1,40~44,457.6
5,15,1,45~49,601.1
6,15,1,50~54,812.0
7,15,1,55~59,801.1
8,15,1,60~64,509.6
9,15,1,65~69,611.5
10,15,1,70~74,859.75
11,15,1,75~79,816.5
0,15,2,20~24,0.0
1,15,2,25~29,0.0
2,15,2,30~34,0.0
3,15,2,35~39,0.0
4,15,2,40~44,0.0
5,15,2,45~49,571.0
6,15,2,50~54,716.0
7,15,2,55~59,0.0
8,15,2,60~64,0.0
0,21,1,20~24,0.0
1,21,1,25~29,314.9
2,21,1,30~34,316.5
3,21,1,35~39,433.2
4,21,1,40~44,448.1
5,21,1,45~49,451.0
6,21,1,50~54,447.4
7,21,1,55~59,202.0
8,21,1,60~64,209.5
9,21,1,65~69,268.75
0,21,2,20~24,163.0
1,21,2,25~29,228.2
2,21,2,30~34,316.0
3,21,2,35~39,344.2
4,21,2,40~44,337.3
5,21,2,45~49,494.33
6,21,2,50~54,220.7
7,21,2,55~59,200.0
8,21,2,60~64,182.0
0,22,1,20~24,199.6
1,22,1,25~29,235.6
2,22,1,30~34,319.4
3,22,1,35~39,408.8
4,22,1,40~44,466.8
5,22,1,45~49,524.2
6,22,1,50~54,513.2
7,22,1,55~59,408.5
8,22,1,60~64,658.7
0,22,2,20~24,191.8
1,22,2,25~29,256.2
2,22,2,30~34,305.5
3,22,2,35~39,326.1
4,22,2,40~44,394.5
5,22,2,45~49,431.4
6,22,2,50~54,485.5
7,22,2,55~59,379.75
8,22,2,60~64,0.0
0,23,1,20~24,208.38
1,23,1,25~29,251.5
2,23,1,30~34,342.1
3,23,1,35~39,412.2
4,23,1,40~44,465.9
5,23,1,45~49,545.4
6,23,1,50~54,489.4
7,23,1,55~59,451.7
8,23,1,60~64,354.8
9,23,1,65~69,326.5
10,23,1,70~74,379.33
11,23,1,75~79,174.0
0,23,2,20~24,206.2
1,23,2,25~29,252.5
2,23,2,30~34,308.1
3,23,2,35~39,322.9
4,23,2,40~44,323.8
5,23,2,45~49,287.0
6,23,2,50~54,321.7
7,23,2,55~59,359.75
8,23,2,60~64,0.0
0,24,1,20~24,162.0
1,24,1,25~29,238.5
2,24,1,30~34,321.4
3,24,1,35~39,354.0
4,24,1,40~44,326.0
5,24,1,45~49,327.6
6,24,1,50~54,331.3
7,24,1,55~59,322.6
8,24,1,60~64,279.5
9,24,1,65~69,197.7
10,24,1,70~74,200.2
11,24,1,75~79,210.3
12,24,1,80~84,172.5
0,24,2,20~24,180.7
1,24,2,25~29,219.2
2,24,2,30~34,220.3
3,24,2,35~39,224.2
4,24,2,40~44,216.7
5,24,2,45~49,218.8
6,24,2,50~54,228.7
7,24,2,55~59,254.7
8,24,2,60~64,236.8
9,24,2,65~69,256.4
10,24,2,70~74,233.8
11,24,2,75~79,0.0
12,24,2,80~84,33.0
0,25,1,20~24,220.75
1,25,1,25~29,221.6
2,25,1,30~34,288.6
3,25,1,35~39,368.6
4,25,1,40~44,449.7
5,25,1,45~49,467.8
6,25,1,50~54,513.3
7,25,1,55~59,557.5
8,25,1,60~64,556.3
9,25,1,65~69,293.7
0,25,2,20~24,167.6
1,25,2,25~29,231.8
2,25,2,30~34,268.9
3,25,2,35~39,317.4
4,25,2,40~44,348.5
5,25,2,45~49,374.6
6,25,2,50~54,441.6
7,25,2,55~59,487.6
8,25,2,60~64,494.7
9,25,2,65~69,478.0
10,25,2,70~74,274.0
0,26,1,20~24,0.0
1,26,1,25~29,1097.0
2,26,1,30~34,661.25
3,26,1,35~39,467.5
4,26,1,40~44,500.7
5,26,1,45~49,509.0
6,26,1,50~54,558.0
7,26,1,55~59,591.2
8,26,1,60~64,561.0
0,26,2,20~24,0.0
1,26,2,25~29,535.0
2,26,2,30~34,535.33
3,26,2,35~39,521.6
4,26,2,40~44,542.7
5,26,2,45~49,464.3
6,26,2,50~54,551.25
7,26,2,55~59,538.4
8,26,2,60~64,381.0
0,27,1,20~24,227.0
1,27,1,25~29,234.3
2,27,1,30~34,322.2
3,27,1,35~39,412.1
4,27,1,40~44,451.3
5,27,1,45~49,457.8
6,27,1,50~54,409.7
7,27,1,55~59,410.6
8,27,1,60~64,302.7
9,27,1,65~69,178.6
10,27,1,70~74,151.6
11,27,1,75~79,136.2
12,27,1,80~84,210.5
13,27,1,85~89,93.0
14,27,1,90~94,81.0
0,27,2,20~24,188.33
1,27,2,25~29,238.0
2,27,2,30~34,277.5
3,27,2,35~39,291.9
4,27,2,40~44,319.1
5,27,2,45~49,288.4
6,27,2,50~54,273.4
7,27,2,55~59,276.8
8,27,2,60~64,236.6
9,27,2,65~69,209.4
10,27,2,70~74,113.6
11,27,2,75~79,105.0
0,28,1,20~24,178.2
1,28,1,25~29,213.8
2,28,1,30~34,255.9
3,28,1,35~39,326.0
4,28,1,40~44,350.4
5,28,1,45~49,383.8
6,28,1,50~54,428.7
7,28,1,55~59,272.6
8,28,1,60~64,231.3
9,28,1,65~69,211.5
0,28,2,20~24,171.8
1,28,2,25~29,218.1
2,28,2,30~34,254.2
3,28,2,35~39,272.9
4,28,2,40~44,247.5
5,28,2,45~49,250.4
6,28,2,50~54,373.2
7,28,2,55~59,270.25
8,28,2,60~64,233.2
9,28,2,65~69,74.0
10,28,2,70~74,135.33
0,31,1,20~24,202.2
1,31,1,25~29,241.0
2,31,1,30~34,299.3
3,31,1,35~39,350.5
4,31,1,40~44,400.9
5,31,1,45~49,425.7
6,31,1,50~54,442.8
7,31,1,55~59,433.5
8,31,1,60~64,312.8
9,31,1,65~69,275.0
10,31,1,70~74,233.9
11,31,1,75~79,282.1
0,31,2,20~24,183.9
1,31,2,25~29,208.2
2,31,2,30~34,230.0
3,31,2,35~39,260.0
4,31,2,40~44,266.4
5,31,2,45~49,268.1
6,31,2,50~54,238.7
7,31,2,55~59,249.9
8,31,2,60~64,249.2
9,31,2,65~69,200.8
10,31,2,70~74,231.83
11,31,2,75~79,0.0
12,31,2,80~84,315.0
0,32,1,20~24,201.25
1,32,1,25~29,279.3
2,32,1,30~34,344.8
3,32,1,35~39,395.3
4,32,1,40~44,521.9
5,32,1,45~49,641.4
6,32,1,50~54,601.7
7,32,1,55~59,444.7
8,32,1,60~64,307.33
0,32,2,20~24,242.1
