,depth2,p_age_range,median_wage
0,11,20~24,0.0
1,11,25~29,0.0
2,11,30~34,0.0
3,11,35~39,0.0
4,11,40~44,348.0
5,11,45~49,0.0
6,11,50~54,0.0
7,11,55~59,653.2
8,11,60~64,384.0
0,12,20~24,0.0
1,12,25~29,0.0
2,12,30~34,338.5
3,12,35~39,391.0
4,12,40~44,420.4
5,12,45~49,625.2
6,12,50~54,748.8
7,12,55~59,625.0
8,12,60~64,401.3
9,12,65~69,297.5
10,12,70~74,110.0
0,13,20~24,0.0
1,13,25~29,497.0
2,13,30~34,518.2
3,13,35~39,555.9
4,13,40~44,375.0
5,13,45~49,468.4
6,13,50~54,556.8
7,13,55~59,523.3
8,13,60~64,402.9
9,13,65~69,414.2
10,13,70~74,278.0
0,14,20~24,0.0
1,14,25~29,256.2
2,14,30~34,366.0
3,14,35~39,414.0
4,14,40~44,535.3
5,14,45~49,539.4
6,14,50~54,555.6
7,14,55~59,481.2
8,14,60~64,493.8
9,14,65~69,336.7
10,14,70~74,339.2
0,15,20~24,0.0
1,15,25~29,353.0
2,15,30~34,736.0
3,15,35~39,582.3
4,15,40~44,457.6
5,15,45~49,585.2
6,15,50~54,814.9
7,15,55~59,801.1
8,15,60~64,509.6
9,15,65~69,611.5
10,15,70~74,859.75
11,15,75~79,816.5
0,21,20~24,163.0
1,21,25~29,240.6
2,21,30~34,309.0
3,21,35~39,389.7
4,21,40~44,426.3
5,21,45~49,463.3
6,21,50~54,327.0
7,21,55~59,179.17
8,21,60~64,179.9
9,21,65~69,268.75
0,22,20~24,199.6
1,22,25~29,241.0
2,22,30~34,318.4
3,22,35~39,396.8
4,22,40~44,460.7
5,22,45~49,514.7
6,22,50~54,509.9
7,22,55~59,385.9
8,22,60~64,658.7
0,23,20~24,206.3
1,23,25~29,253.2
2,23,30~34,333.4
3,23,35~39,405.1
4,23,40~44,456.3
5,23,45~49,521.4
6,23,50~54,477.3
7,23,55~59,447.0
8,23,60~64,354.8
9,23,65~69,326.5
10,23,70~74,379.33
11,23,75~79,174.0
0,24,20~24,180.2
1,24,25~29,221.6
2,24,30~34,234.9
3,24,35~39,245.1
4,24,40~44,222.8
5,24,45~49,223.2
6,24,50~54,241.7
7,24,55~59,273.8
8,24,60~64,245.7
9,24,65~69,215.7
10,24,70~74,221.1
11,24,75~79,210.3
12,24,80~84,139.25
0,25,20~24,167.6
1,25,25~29,229.7
2,25,30~34,277.2
3,25,35~39,333.7
4,25,40~44,377.7
5,25,45~49,431.4
6,25,50~54,487.7
7,25,55~59,526.1
8,25,60~64,543.0
9,25,65~69,296.1
10,25,70~74,274.0
0,26,20~24,0.0
1,26,25~29,678.0
2,26,30~34,603.67
3,26,35~39,467.4
4,26,40~44,509.6
5,26,45~49,505.7
6,26,50~54,555.6
7,26,55~59,589.4
8,26,60~64,547.25
0,27,20~24,206.67
1,27,25~29,239.0
2,27,30~34,314.7
3,27,35~39,390.1
4,27,40~44,437.1
5,27,45~49,437.1
6,27,50~54,376.0
7,27,55~59,361.0
8,27,60~64,254.9
9,27,65~69,173.6
10,27,70~74,119.9
11,27,75~79,124.6
12,27,80~84,210.5
13,27,85~89,93.0
14,27,90~94,81.0
0,28,20~24,163.0
1,28,25~29,214.2
2,28,30~34,252.7
3,28,35~39,309.3
4,28,40~44,321.2
5,28,45~49,322.2
6,28,50~54,398.1
7,28,55~59,258.2
8,28,60~64,230.2
9,28,65~69,134.67
10,28,70~74,135.33
0,31,20~24,186.6
1,31,25~29,219.1
2,31,30~34,269.2
3,31,35~39,316.4
4,31,40~44,356.6
5,31,45~49,385.6
6,31,50~54,411.5
7,31,55~59,403.0
8,31,60~64,304.1
9,31,65~69,261.2
10,31,70~74,231.2
11,31,75~79,282.1
12,31,80~84,315.0
0,32,20~24,242.9
1,32,25~29,269.8
2,32,30~34,331.1
3,32,35~39,374.6
4,32,40~44,481.7
5,32,45~49,549.0
6,32,50~54,530.3
7,32,55~59,373.9
8,32,60~64,290.25
0,33,20~24,161.33
1,33,25~29,172.2
2,33,30~34,217.9
3,33,35~39,269.9
4,33,40~44,312.4
5,33,45~49,331.3
6,33,50~54,427.2
7,33,55~59,452.7
8,33,60~64,245.88
9,33,65~69,175.5
10,33,70~74,224.0
0,39,20~24,165.9
1,39,25~29,205.8
2,39,30~34,220.6
3,39,35~39,224.8
4,39,40~44,217.2
5,39,45~49,218.1
6,39,50~54,211.9
7,39,55~59,239.4
8,39,60~64,246.2
9,39,65~69,203.9
10,39,70~74,222.7
0,41,20~24,217.75
1,41,25~29,223.9
2,41,30~34,288.6
3,41,35~39,349.6
4,41,40~44,398.4
5,41,45~49,451.0
6,41,50~54,503.8
7,41,55~59,469.8
8,41,60~64,372.5
9,41,65~69,138.83
0,42,20~24,151.5
1,42,25~29,199.1
2,42,30~34,231.0
3,42,35~39,215.0
4,42,40~44,201.3
5,42,45~49,195.5
6,42,50~54,186.9
7,42,55~59,183.1
8,42,60~64,165.7
9,42,65~69,150.2
10,42,70~74,110.2
11,42,75~79,62.6
12,42,80~84,63.5
0,43,20~24,128.6
1,43,25~29,223.2
2,43,30~34,279.3
3,43,35~39,316.0
4,43,40~44,292.1
5,43,45~49,285.5
6,43,50~54,276.4
7,43,55~59,261.6
8,43,60~64,284.9
9,43,65~69,213.5
10,43,70~74,269.0
11,43,75~79,112.0
0,44,20~24,173.9
1,44,25~29,217.7
2,44,30~34,233.8
3,44,35~39,258.5
4,44,40~44,228.5
5,44,45~49,217.4
6,44,50~54,206.8
7,44,55~59,215.3
8,44,60~64,192.9
9,44,65~69,202.8
10,44,70~74,169.7
11,44,75~79,144.7
12,44,80~84,65.5
0,51,20~24,182.62
1,51,25~29,229.6
2,51,30~34,270.7
3,51,35~39,315.6
4,51,40~44,327.2
5,51,45~49,330.3
6,51,50~54,325.4
7,51,55~59,275.0
8,51,60~64,270.7
9,51,65~69,278.6
10,51,70~74,207.9
11,51,75~79,147.5
0,52,20~24,162.0
1,52,25~29,204.7
2,52,30~34,238.1
3,52,35~39,266.0
4,52,40~44,268.4
5,52,45~49,234.9
6,52,50~54,228.6
7,52,55~59,242.4
8,52,60~64,210.9
9,52,65~69,166.0
10,52,70~74,137.8
11,52,75~79,111.2
12,52,80~84,88.9
13,52,85~89,252.5
0,53,20~24,176.2
1,53,25~29,196.5
2,53,30~34,223.4
3,53,35~39,208.9
4,53,40~44,215.7
5,53,45~49,220.9
6,53,50~54,205.6
7,53,55~59,169.3
8,53,60~64,144.8
9,53,65~69,112.6
10,53,70~74,86.4
11,53,75~79,162.6
12,53,80~84,165.6
13,53,85~89,38.5
0,61,20~24,199.67
1,61,25~29,211.5
2,61,30~34,205.9
3,61,35~39,330.0
4,61,40~44,310.9
5,61,45~49,265.1
6,61,50~54,240.5
7,61,55~59,242.5
8,61,60~64,182.1
9,61,65~69,128.8
10,61,70~74,104.0
11,61,75~79,71.0
12,61,80~84,53.1
13,61,85~89,40.9
14,61,90~94,44.0
0,62,20~24,0.0
1,62,25~29,0.0
2,62,30~34,0.0
3,62,35~39,0.0
4,62,40~44,125.0
5,62,45~49,146.25
6,62,50~54,191.1
7,62,55~59,184.0
8,62,60~64,222.3
9,62,65~69,144.1
10,62,70~74,144.4
11,62,75~79,204.0
0,63,20~24,276.0
1,63,25~29,302.0
2,63,30~34,722.0
3,63,35~39,827.62
4,63,40~44,404.9
5,63,45~49,464.7
6,63,50~54,372.4
7,63,55~59,300.3
8,63,60~64,229.2
9,63,65~69,230.7
10,63,70~74,180.0
11,63,75~79,111.0
12,63,80~84,105.0
0,71,20~24,203.4
1,71,25~29,233.5
2,71,30~34,219.6
3,71,35~39,274.1
4,71,40~44,193.3
5,71,45~49,243.2
6,71,50~54,188.1
7,71,55~59,189.9
8,71,60~64,174.3
9,71,65~69,134.0
10,71,70~74,110.6
11,71,75~79,91.3
12,71,80~84,108.83
0,72,20~24,140.5
1,72,25~29,173.7
2,72,30~34,100.5
3,72,35~39,189.8
4,72,40~44,186.1
5,72,45~49,172.9
6,72,50~54,161.3
7,72,55~59,178.7
8,72,60~64,158.2
9,72,65~69,117.1
10,72,70~74,162.8
11,72,75~79,72.5
12,72,80~84,41.67
13,72,85~89,71.5
14,72,90~94,149.0
0,73,20~24,162.0
1,73,25~29,190.0
2,73,30~34,241.2
3,73,35~39,286.2
4,73,40~44,277.3
5,73,45~49,296.1
6,73,50~54,260.3
7,73,55~59,309.0
8,73,60~64,348.8
9,73,65~69,356.9
10,73,70~74,405.17
0,74,20~24,203.7
1,74,25~29,249.1
2,74,30~34,299.9
3,74,35~39,321.1
4,74,40~44,310.5
5,74,45~49,320.7
6,74,50~54,305.0
7,74,55~59,269.3
8,74,60~64,240.0
9,74,65~69,221.7
10,74,70~74,189.2
11,74,75~79,204.5
0,75,20~24,181.4
1,75,25~29,241.8
2,75,30~34,295.4
3,75,35~39,319.4
4,75,40~44,325.5
5,75,45~49,362.1
6,75,50~54,386.2
7,75,55~59,319.6
8,75,60~64,248.5
9,75,65~69,211.2
10,75,70~74,142.0
11,75,75~79,80.4
0,76,20~24,198.7
1,76,25~29,228.5
2,76,30~34,292.7
3,76,35~39,323.4
4,76,40~44,330.9
5,76,45~49,345.7
6,76,50~54,351.2
7,76,55~59,331.9
8,76,60~64,295.6
9,76,65~69,351.4
10,76,70~74,109.0
0,77,20~24,171.1
1,77,25~29,224.1
2,77,30~34,247.0
3,77,35~39,298.4
4,77,40~44,325.6
5,77,45~49,351.4
6,77,50~54,336.4
7,77,55~59,315.4
8,77,60~64,208.9
9,77,65~69,146.75
0,78,20~24,230.2
1,78,25~29,239.4
2,78,30~34,274.3
3,78,35~39,314.9
4,78,40~44,298.5
5,78,45~49,290.5
6,78,50~54,289.3
7,78,55~59,286.7
8,78,60~64,253.2
9,78,65~69,213.2
10,78,70~74,224.7
11,78,75~79,208.25
0,79,20~24,235.83
1,79,25~29,239.8
2,79,30~34,287.8
3,79,35~39,308.2
4,79,40~44,303.2
5,79,45~49,352.1
6,79,50~54,275.5
7,79,55~59,253.9
8,79,60~64,260.2
9,79,65~69,179.0
10,79,70~74,169.8
11,79,75~79,201.5
0,81,20~24,301.0
1,81,25~29,248.8
2,81,30~34,255.7
3,81,35~39,382.4
4,81,40~44,352.8
5,81,45~49,253.3
6,81,50~54,381.3
7,81,55~59,388.0
8,81,60~64,233.7
9,81,65~69,173.7
10,81,70~74,164.88
0,82,20~24,120.0
1,82,25~29,198.12
2,82,30~34,212.7
3,82,35~39,228.2
4,82,40~44,238.9
5,82,45~49,242.1
6,82,50~54,231.1
7,82,55~59,230.1
8,82,60~64,248.6
9,82,65~69,197.2
10,82,70~74,211.5
11,82,75~79,193.67
0,83,20~24,179.67
1,83,25~29,232.5
2,83,30~34,292.2
3,83,35~39,284.0
4,83,40~44,292.9
5,83,45~49,286.1
6,83,50~54,294.7
7,83,55~59,264.5
8,83,60~64,253.1
9,83,65~69,263.6
10,83,70~74,287.5
0,84,20~24,206.8
1,84,25~29,237.7
2,84,30~34,288.8
3,84,35~39,301.4
4,84,40~44,319.1
5,84,45~49,352.7
6,84,50~54,293.0
7,84,55~59,279.3
8,84,60~64,275.6
9,84,65~69,270.3
10,84,70~74,216.38
0,85,20~24,206.0
1,85,25~29,234.3
2,85,30~34,282.1
3,85,35~39,318.1
4,85,40~44,323.4
5,85,45~49,330.5
6,85,50~54,308.4
7,85,55~59,301.2
8,85,60~64,242.4
9,85,65~69,279.2
10,85,70~74,308.4
11,85,75~79,258.0
0,86,20~24,220.2
1,86,25~29,243.7
2,86,30~34,260.2
3,86,35~39,314.6
4,86,40~44,291.0
5,86,45~49,260.5
6,86,50~54,251.6
7,86,55~59,251.0
8,86,60~64,241.9
9,86,65~69,245.0
10,86,70~74,228.8
11,86,75~79,76.0
0,87,20~24,145.5
1,87,25~29,225.1
2,87,30~34,277.0
3,87,35~39,327.7
4,87,40~44,316.9
5,87,45~49,307.2
6,87,50~54,287.7
7,87,55~59,276.9
8,87,60~64,223.2
9,87,65~69,185.5
10,87,70~74,152.8
11,87,75~79,178.0
0,88,20~24,0.0
1,88,25~29,329.33
2,88,30~34,275.5
3,88,35~39,341.0
4,88,40~44,337.2
5,88,45~49,424.3
6,88,50~54,397.8
7,88,55~59,648.7
8,88,60~64,253.75
9,88,65~69,140.4
10,88,70~74,83.0
11,88,75~79,76.0
0,89,20~24,169.12
1,89,25~29,229.4
2,89,30~34,233.6
3,89,35~39,288.2
4,89,40~44,290.8
5,89,45~49,310.2
6,89,50~54,254.6
7,89,55~59,235.6
8,89,60~64,196.0
9,89,65~69,158.4
10,89,70~74,255.5
11,89,75~79,270.9
0,91,20~24,183.5
1,91,25~29,229.1
2,91,30~34,222.5
3,91,35~39,212.3
4,91,40~44,227.1
5,91,45~49,211.3
6,91,50~54,225.4
7,91,55~59,214.8
8,91,60~64,208.2
9,91,65~69,168.9
10,91,70~74,141.9
11,91,75~79,202.88
0,92,20~24,187.1
1,92,25~29,217.9
2,92,30~34,240.5
3,92,35~39,261.3
4,92,40~44,277.8
5,92,45~49,270.6
6,92,50~54,252.8
7,92,55~59,245.7
8,92,60~64,196.4
9,92,65~69,180.9
10,92,70~74,149.9
11,92,75~79,190.0
12,92,80~84,130.75
0,93,20~24,175.8
1,93,25~29,214.4
2,93,30~34,205.7
3,93,35~39,197.3
4,93,40~44,165.9
5,93,45~49,155.8
6,93,50~54,167.4
7,93,55~59,168.7
8,93,60~64,147.3
9,93,65~69,134.1
10,93,70~74,90.0
11,93,75~79,62.6
12,93,80~84,53.25
0,94,20~24,180.0
1,94,25~29,205.4
2,94,30~34,243.1
3,94,35~39,205.1
4,94,40~44,195.8
5,94,45~49,190.0
6,94,50~54,177.3
7,94,55~59,158.2
8,94,60~64,151.3
9,94,65~69,144.6
10,94,70~74,133.9
11,94,75~79,128.6
12,94,80~84,108.1
13,94,85~89,97.33
0,95,20~24,169.2
1,95,25~29,181.9
2,95,30~34,196.8
3,95,35~39,184.9
4,95,40~44,153.6
5,95,45~49,147.1
6,95,50~54,163.0
7,95,55~59,166.0
8,95,60~64,161.9
9,95,65~69,131.4
10,95,70~74,120.4
11,95,75~79,199.1
12,95,80~84,408.6
13,95,85~89,400.8
14,95,90~94,315.0
0,99,20~24,101.0
1,99,25~29,172.67
2,99,30~34,0.0
3,99,35~39,211.2
4,99,40~44,185.0
5,99,45~49,176.2
6,99,50~54,150.2
7,99,55~59,150.1
8,99,60~64,145.9
9,99,65~69,124.6
10,99,70~74,100.8
11,99,75~79,106.4
12,99,80~84,43.33
